context,question,answer,start_position,end_position
1755 жылғы шiлде айының 19-ында император Цянь-Лунның жарлығына сай бұрынғы жоңғар мемлекетiнiң иелiгi Цин өкiметiнiң меншiгi деп жарияланды.,Қай уақытта император Цянь-Лунның жарлығына сай бұрынғы жоңғар мемлекетiнiң иелiгi Цин өкiметiнiң меншiгi деп жарияланды.,1755 жылғы шiлде айының 19-ында,0,31
"Алданғанын бiлген Әмiрсана, ендi Цин билiгiне қарсы шықты. Жағдайы қиындаған Әмiрсана Орта жүздiң белдi сұлтандары Абылай мен Әбiлпайызға арқа сүйеуге тырысты. Маньчжур-Цин әулетi Әмiрсананың қарсылығын сылтау етiп, Жоңғарияны түбегейлi талқандауға кiрiстi.",Кім өзінің алданғанын білді?,Әмiрсана,18,26
"Алданғанын бiлген Әмiрсана, ендi Цин билiгiне қарсы шықты. Жағдайы қиындаған Әмiрсана Орта жүздiң белдi сұлтандары Абылай мен Әбiлпайызға арқа сүйеуге тырысты. Маньчжур-Цин әулетi Әмiрсананың қарсылығын сылтау етiп, Жоңғарияны түбегейлi талқандауға кiрiстi.",Кім Цинь билігіне қарсы шықты?,Әмiрсана,18,26
"Алданғанын бiлген Әмiрсана, ендi Цин билiгiне қарсы шықты. Жағдайы қиындаған Әмiрсана Орта жүздiң белдi сұлтандары Абылай мен Әбiлпайызға арқа сүйеуге тырысты. Маньчжур-Цин әулетi Әмiрсананың қарсылығын сылтау етiп, Жоңғарияны түбегейлi талқандауға кiрiстi.",Әмірсана кімнің билігіне қарсы шықты?,Цин билiгiне,33,45
"Алданғанын бiлген Әмiрсана, ендi Цин билiгiне қарсы шықты. Жағдайы қиындаған Әмiрсана Орта жүздiң белдi сұлтандары Абылай мен Әбiлпайызға арқа сүйеуге тырысты. Маньчжур-Цин әулетi Әмiрсананың қарсылығын сылтау етiп, Жоңғарияны түбегейлi талқандауға кiрiстi.",Қиын жағдайда қалған Әмірсана кімдерге арқа сүйеуге тырысты?,Абылай мен Әбiлпайызға,115,137
"Алданғанын бiлген Әмiрсана, ендi Цин билiгiне қарсы шықты. Жағдайы қиындаған Әмiрсана Орта жүздiң белдi сұлтандары Абылай мен Әбiлпайызға арқа сүйеуге тырысты. Маньчжур-Цин әулетi Әмiрсананың қарсылығын сылтау етiп, Жоңғарияны түбегейлi талқандауға кiрiстi.",Жоңғарияны кім түбегейлі талқандауға тырысты?,Маньчжур-Цин әулетi,160,179
"Алданғанын бiлген Әмiрсана, ендi Цин билiгiне қарсы шықты. Жағдайы қиындаған Әмiрсана Орта жүздiң белдi сұлтандары Абылай мен Әбiлпайызға арқа сүйеуге тырысты. Маньчжур-Цин әулетi Әмiрсананың қарсылығын сылтау етiп, Жоңғарияны түбегейлi талқандауға кiрiстi.",Жоңғарияны түбегейлі талқандауға не себеп болды?,Әмiрсананың қарсылығы,180,201
"1756 жылдың наурыз айында маньчжур-қытай әскерлерi Iлe өзенiн бойлай Қазақстан шекарасына дейiн жеттi. Жоңғар хандығын басып алған Қытай, оны iрi тайпалардың негiзiнде 4 бөлiкке бөлiп жiбердi.",Қай уақытта қытай әскерлері Іле өзенін бойлай қазақ шекарасына жетті?,1756 жылдың наурыз айында,0,25
"1756 жылдың наурыз айында маньчжур-қытай әскерлерi Iлe өзенiн бойлай Қазақстан шекарасына дейiн жеттi. Жоңғар хандығын басып алған Қытай, оны iрi тайпалардың негiзiнде 4 бөлiкке бөлiп жiбердi.",1756 жылдың наурыз айында Іле өзенін бойлап Қазақ шекарасына кімдер жетті?,маньчжур-қытай әскерлерi,26,50
"1756 жылдың наурыз айында маньчжур-қытай әскерлерi Iлe өзенiн бойлай Қазақстан шекарасына дейiн жеттi. Жоңғар хандығын басып алған Қытай, оны iрi тайпалардың негiзiнде 4 бөлiкке бөлiп жiбердi.",Жоңғар хандығын кім басып алды?,Қытай,131,136
"1756 жылдың наурыз айында маньчжур-қытай әскерлерi Iлe өзенiн бойлай Қазақстан шекарасына дейiн жеттi. Жоңғар хандығын басып алған Қытай, оны iрi тайпалардың негiзiнде 4 бөлiкке бөлiп жiбердi.",Қытай жоңарияның тайпаларын неше бөлікке бөліп жіберді?,4 бөлiкке,168,177
"Ал Әмiрсана болса бұған наразы болып, қайтадан Абылайдан қолдау iздедi. Әмiрсананы паналатқан Абылай Қытайдың ықпалына түспеу үшiн жоңғарларды қолдау қажеттiгiн түсiндi. Бiрақ Қытай әскерлерi Орта жүздiң жерiне басып кiрген кезде қазақтар жеңiлiп қалды.",Әмірсана қайтадан кімнен қолдау сұрады?,Абылайдан,47,56
"Ал Әмiрсана болса бұған наразы болып, қайтадан Абылайдан қолдау iздедi. Әмiрсананы паналатқан Абылай Қытайдың ықпалына түспеу үшiн жоңғарларды қолдау қажеттiгiн түсiндi. Бiрақ Қытай әскерлерi Орта жүздiң жерiне басып кiрген кезде қазақтар жеңiлiп қалды.",Абылай нені түсінді?,Қытайдың ықпалына түспеу үшiн жоңғарларды қолдау қажеттiгiн,101,160
"Ал Әмiрсана болса бұған наразы болып, қайтадан Абылайдан қолдау iздедi. Әмiрсананы паналатқан Абылай Қытайдың ықпалына түспеу үшiн жоңғарларды қолдау қажеттiгiн түсiндi. Бiрақ Қытай әскерлерi Орта жүздiң жерiне басып кiрген кезде қазақтар жеңiлiп қалды.",Қытай әскерлерінен жеілген қай жүз?,Орта жүз,192,200
"Ал Әмiрсана болса бұған наразы болып, қайтадан Абылайдан қолдау iздедi. Әмiрсананы паналатқан Абылай Қытайдың ықпалына түспеу үшiн жоңғарларды қолдау қажеттiгiн түсiндi. Бiрақ Қытай әскерлерi Орта жүздiң жерiне басып кiрген кезде қазақтар жеңiлiп қалды.",Қазақтар кімнен жеңіліп қалды?,Қытай әскерлерi,176,191
"1757 жылы Қытаймен жағдайды шиленiстiрмеу үшiн Абылай жоңғарларды қолдаудан бас тартып, өзiнiң Қытай императорына бағынатынын мәлiмдедi. Бiрақ бұл Қытайдың билiгiн сөз жүзiнде ғана мойындау едi.",Қай жылы Абылай ҚЫтаймен арадағы жағдайды шиеленістермеу үшін Жоңғарларды қолдаудан бас тартты?,1757 жылы,0,9
"1757 жылы Қытаймен жағдайды шиленiстiрмеу үшiн Абылай жоңғарларды қолдаудан бас тартып, өзiнiң Қытай императорына бағынатынын мәлiмдедi. Бiрақ бұл Қытайдың билiгiн сөз жүзiнде ғана мойындау едi.",Абылай кімдері қолдаудан бас тартты?,жоңғарларды,54,65
"1757 жылы Қытаймен жағдайды шиленiстiрмеу үшiн Абылай жоңғарларды қолдаудан бас тартып, өзiнiң Қытай императорына бағынатынын мәлiмдедi. Бiрақ бұл Қытайдың билiгiн сөз жүзiнде ғана мойындау едi.",Абылай кімге бағынатындығын жариялады?,Қытай императорына,95,113
"1757 жылы Қытаймен жағдайды шиленiстiрмеу үшiн Абылай жоңғарларды қолдаудан бас тартып, өзiнiң Қытай императорына бағынатынын мәлiмдедi. Бiрақ бұл Қытайдың билiгiн сөз жүзiнде ғана мойындау едi.",Қытайдың билігін сөз жүзінде мойындаған кім?,Абылай,47,53
"1758 жылы Жоңғария толық талқандалып, халқының оннан төрт бөлiгi аурудан, қайыршылықтан қырылды, оннан екi бөлiгi Ресейге қашты, оннан үш бөлiгi Цин әскер - лерiнiң қолынан қаза болды, бiрқатары қазақ жерiн басып өтiп, Едiлдiң бойындағы қандастары — қалмақтарға жетуге тырысты.",Қай жылы Жоңғария толығымне талқандалынды?,1758 жылы,0,9
"1758 жылы Жоңғария толық талқандалып, халқының оннан төрт бөлiгi аурудан, қайыршылықтан қырылды, оннан екi бөлiгi Ресейге қашты, оннан үш бөлiгi Цин әскер - лерiнiң қолынан қаза болды, бiрқатары қазақ жерiн басып өтiп, Едiлдiң бойындағы қандастары — қалмақтарға жетуге тырысты.",1758 жылы қай мемлекет толығымен талқандалынды?,Жоңғария,10,18
"1758 жылы Жоңғария толық талқандалып, халқының оннан төрт бөлiгi аурудан, қайыршылықтан қырылды, оннан екi бөлiгi Ресейге қашты, оннан үш бөлiгi Цин әскер - лерiнiң қолынан қаза болды, бiрқатары қазақ жерiн басып өтiп, Едiлдiң бойындағы қандастары — қалмақтарға жетуге тырысты.",Жоңғария халқы қандай күйде болды?,"халқының оннан төрт бөлiгi аурудан, қайыршылықтан қырылды, оннан екi бөлiгi Ресейге қашты, оннан үш бөлiгi Цин әскер - лерiнiң қолынан қаза болды, бiрқатары қазақ жерiн басып өтiп, Едiлдiң бойындағы қандастары — қалмақтарға жетуге тырысты",38,276
"“Ақтабан шұбырынды, Алқакөл сұлама” жылдарындағы қайғы-қасiрет үшiн өш алуға тырысқан қазақтар оларға шабуылды үдетiп, берекесiн кетiрдi. Сонымен 1758 жылы Жоңғария дербес ел ретiнде тарихи сахнадан жоғалды. Бұрынғы жоңғар жерiнде империялық әкiмшiлiк бiрлестiгi — Шыңжаң (жаңа шекара) құрылды.",кімдер өш алғысы келді?,қазақтар,86,94
Сонымен 1758 жылы Жоңғария дербес ел ретiнде тарихи сахнадан жоғалды. Бұрынғы жоңғар жерiнде империялық әкiмшiлiк бiрлестiгi — Шыңжаң (жаңа шекара) құрылды.,Қай жылы Жоңғар дербес ел ретінде жойылды?,1758 жылы,8,17
Сонымен 1758 жылы Жоңғария дербес ел ретiнде тарихи сахнадан жоғалды. Бұрынғы жоңғар жерiнде империялық әкiмшiлiк бiрлестiгi — Шыңжаң (жаңа шекара) құрылды.,Бұрыңғы жоңғар жерінде не орналасты?,империялық әкiмшiлiк бiрлестiгi — Шыңжаң (жаңа шекара) құрылды,93,155
"XVIII ғасырдың 40–50- жылдарында патша үкiметi iске асырған әскери-инженерлiк шаралардың нәтижесiнде Солтүстiк-шығыс Қазақстан өңiрi бекiнiс шептерiмен қоршалды. Сiбiр редутынан Омбыға дейiнгi бекiнiстердi Горькая шебi деп атады, ұзындығы — 553 верста.",Қай уақытта патша үкіметі әскери-инженерлиялық шарасының нәтижесінде Қазақстанның солтүстік-шығыс өңірі бекіністермен қоршалды?,XVIII ғасырдың 40–50- жылдарында,0,32
"XVIII ғасырдың 40–50- жылдарында патша үкiметi iске асырған әскери-инженерлiк шаралардың нәтижесiнде Солтүстiк-шығыс Қазақстан өңiрi бекiнiс шептерiмен қоршалды. Сiбiр редутынан Омбыға дейiнгi бекiнiстердi Горькая шебi деп атады, ұзындығы — 553 верста.",Қай бекіністерді Горькая шебі деп атады?,Сiбiр редутынан Омбыға дейiнгi бекiнiстердi,162,205
"XVIII ғасырдың 40–50- жылдарында патша үкiметi iске асырған әскери-инженерлiк шаралардың нәтижесiнде Солтүстiк-шығыс Қазақстан өңiрi бекiнiс шептерiмен қоршалды. Сiбiр редутынан Омбыға дейiнгi бекiнiстердi Горькая шебi деп атады, ұзындығы — 553 верста.",Горькая шебінің ұзындығы қандай болды?,553 верста,241,251
"Екiншi шеп — Омбы бекiнiсiнен Ертiстiң оң жағасын қамти отырып, Кiшi Нарын бекiнiсiне дейiн созылды, ұзындығы — 1684 верста. Бұл бекiнiстер тобы Ертiс шебi деп аталды. Үшiншiсi — Өскемен бекiнiсiнен басталып, Алтай тауларының батысын жағалай, Колыван зауыттарын басып өтiп, Кузнецк шебiмен жалғасты.",Екінші шеп қалай орналасты?,"Омбы бекiнiсiнен Ертiстiң оң жағасын қамти отырып, Кiшi Нарын бекiнiсiне дейiн созылды",13,99
"Екiншi шеп — Омбы бекiнiсiнен Ертiстiң оң жағасын қамти отырып, Кiшi Нарын бекiнiсiне дейiн созылды, ұзындығы — 1684 верста. Бұл бекiнiстер тобы Ертiс шебi деп аталды. Үшiншiсi — Өскемен бекiнiсiнен басталып, Алтай тауларының батысын жағалай, Колыван зауыттарын басып өтiп, Кузнецк шебiмен жалғасты.",Екінші шептің ұзындығы қандай?,1684 верста,112,123
"Екiншi шеп — Омбы бекiнiсiнен Ертiстiң оң жағасын қамти отырып, Кiшi Нарын бекiнiсiне дейiн созылды, ұзындығы — 1684 верста. Бұл бекiнiстер тобы Ертiс шебi деп аталды. Үшiншiсi — Өскемен бекiнiсiнен басталып, Алтай тауларының батысын жағалай, Колыван зауыттарын басып өтiп, Кузнецк шебiмен жалғасты.",Ертіс шебі деп қай бекіністерді атады?,"Омбы бекiнiсiнен Ертiстiң оң жағасын қамти отырып, Кiшi Нарын бекiнiсi",13,83
"Екiншi шеп — Омбы бекiнiсiнен Ертiстiң оң жағасын қамти отырып, Кiшi Нарын бекiнiсiне дейiн созылды, ұзындығы — 1684 верста. Бұл бекiнiстер тобы Ертiс шебi деп аталды. Үшiншiсi — Өскемен бекiнiсiнен басталып, Алтай тауларының батысын жағалай, Колыван зауыттарын басып өтiп, Кузнецк шебiмен жалғасты.",Үшінші бекініс қалай орналасты?,"Өскемен бекiнiсiнен басталып, Алтай тауларының батысын жағалай, Колыван зауыттарын басып өтiп, Кузнецк шебiмен жалғасты",179,298
"Колыван шебi деп аталған бұл шептiң ұзындығы — 723 верста болды. XVIII ғасырдың 50-жылдарының басында жоңғар-қытай, жоңғар-қазақ қарым-қатынастарының шиеленiсуiне байланысты, Ресей үкiметi Звериноголовск редутынан Омбы бекiнiсiне дейiнгi аралықта қосымша бекiнiстер салуды ұйғарды",Колыван шебінің ұзындығы қандай болды? ,723 верста болды,47,63
"Колыван шебi деп аталған бұл шептiң ұзындығы — 723 верста болды. XVIII ғасырдың 50-жылдарының басында жоңғар-қытай, жоңғар-қазақ қарым-қатынастарының шиеленiсуiне байланысты, Ресей үкiметi Звериноголовск редутынан Омбы бекiнiсiне дейiнгi аралықта қосымша бекiнiстер салуды ұйғарды",Қай уақытта Ресей үкіметі қосымша бекіністер салуды ұйғарды?,XVIII ғасырдың 50-жылдарының басында,65,101
"Колыван шебi деп аталған бұл шептiң ұзындығы — 723 верста болды. XVIII ғасырдың 50-жылдарының басында жоңғар-қытай, жоңғар-қазақ қарым-қатынастарының шиеленiсуiне байланысты, Ресей үкiметi Звериноголовск редутынан Омбы бекiнiсiне дейiнгi аралықта қосымша бекiнiстер салуды ұйғарды",Ресей үкіметінің Қазақ жеріне жаңа бекіністер салуына не түрткі болды?,"жоңғар-қытай, жоңғар-қазақ қарым-қатынастарының шиеленiсуi",102,160
"Колыван шебi деп аталған бұл шептiң ұзындығы — 723 верста болды. XVIII ғасырдың 50-жылдарының басында жоңғар-қытай, жоңғар-қазақ қарым-қатынастарының шиеленiсуiне байланысты, Ресей үкiметi Звериноголовск редутынан Омбы бекiнiсiне дейiнгi аралықта қосымша бекiнiстер салуды ұйғарды",Ресей үкіметі салдыртқан қосымша бекіністер қайда орналасты?,Звериноголовск редутынан Омбы бекiнiсiне дейiнгi аралықта,189,246
"былайдың қолбасшы, саяси қайраткер ретiнде қалыптасуы. Абылай — қазақ феодалдық мемлекетiнiң бұрынғы шекарасын қалпына келтiрiп, өз хандығы кезiнде елдiң саяси-экономикалық дамуына түбiрлi өзгерiстер енгiзген атақты мемлекет қайраткерi.","Қазақ феодалдық мемлекеттің бұрынғы шекарасын қалпына келтірген, мемлекет қайраткері кім?",Абылай,55,61
"былайдың қолбасшы, саяси қайраткер ретiнде қалыптасуы. Абылай — қазақ феодалдық мемлекетiнiң бұрынғы шекарасын қалпына келтiрiп, өз хандығы кезiнде елдiң саяси-экономикалық дамуына түбiрлi өзгерiстер енгiзген атақты мемлекет қайраткерi.",Абылай кім?,"қазақ феодалдық мемлекетiнiң бұрынғы шекарасын қалпына келтiрiп, өз хандығы кезiнде елдiң саяси-экономикалық дамуына түбiрлi өзгерiстер енгiзген атақты мемлекет қайраткер",64,234
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Орта жүздің баласы кім?,Уәли,20,24
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Уәлиің баласы кім?,Абылай (Әбiлмансұр),35,54
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Әбiлмансұр қай жылы дүние есігін ашты?,1711 жылы,55,64
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Уәли кім?,Орта жүздiң сұлтаны,0,19
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Абылайдың әкесі кім?,Уәли,20,24
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Абылайдың атасы қай қаланы билеп тұрған еді?,Түркiстан,89,98
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Абылайдың атасының есімі қандай?,Абылай,35,41
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Абылайдың атасы жауына қаталдығы үшін қандай атқа ие болды?,қанiшер,203,210
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",қанiшер деген атқа ие болған кім?,Абылай,35,41
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Не үшін Абылай қаншіер деген атқа ие болды?,"әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн",142,201
"Орта жүздiң сұлтаны Уәлидiң баласы Абылай (Әбiлмансұр) 1711 жылы дүниеге келген. Атасы — Түркiстан қаласының билеушiсi (оның есiмi де Абылай) әскери жорықтарда ерекше көзге түсiп, жауына қаталдығы үшiн “қанiшер” деген жағымсыз атқа ие болған.",Жағымсыз атқа ие болған кім?,Абылай,35,41
"Абылайдың он үш жасында ауылын жау шауып, әке-шеше, туыстарынан айырылған бала, әкесiнiң қызметшiсiнiң көмегiмен жаудан қашып құтылған. Абылай алғаш Түркiстан аймағын паналады.",Абылайдың ауылын жаулар талқандағанда Абылай неше жаста болды?,он үш жасында,10,23
"Абылайдың он үш жасында ауылын жау шауып, әке-шеше, туыстарынан айырылған бала, әкесiнiң қызметшiсiнiң көмегiмен жаудан қашып құтылған. Абылай алғаш Түркiстан аймағын паналады.",Абылай кімдерден айырылды?,"әке-шеше, туыстарынан айырылған",42,73
"Абылайдың он үш жасында ауылын жау шауып, әке-шеше, туыстарынан айырылған бала, әкесiнiң қызметшiсiнiң көмегiмен жаудан қашып құтылған. Абылай алғаш Түркiстан аймағын паналады.",Абылай кіммен бірге жаулардан қашып құтылды?,әкесiнiң қызметшiсiнiң көмегiмен,80,112
"Абылайдың он үш жасында ауылын жау шауып, әке-шеше, туыстарынан айырылған бала, әкесiнiң қызметшiсiнiң көмегiмен жаудан қашып құтылған. Абылай алғаш Түркiстан аймағын паналады.",Абылай қай аймақты жаулардан қашып құтылғаннан соң паналады?,Түркiстан аймағын,149,166
" Ол осында үйсiннiң атақты биi, кейiнен Ұлы жүздiң бас биi атанған Төле бидiң малын бақты. Мұнда ол, бiраз уақыт өзiнiң хан тұқымынан екендiгiн жасыруға мәжбүр болды, жоңғарларға қарсы күресте қатардағы сарбаз ретiнде қатысып, ерлiктерiмен елдiң көзiне түстi.",Ұлы жүздің бас биі атанған кім?,Төле би,67,74
" Ол осында үйсiннiң атақты биi, кейiнен Ұлы жүздiң бас биi атанған Төле бидiң малын бақты. Мұнда ол, бiраз уақыт өзiнiң хан тұқымынан екендiгiн жасыруға мәжбүр болды, жоңғарларға қарсы күресте қатардағы сарбаз ретiнде қатысып, ерлiктерiмен елдiң көзiне түстi.",Төле би кім?,Ұлы жүздiң бас биi,40,58
" Ол осында үйсiннiң атақты биi, кейiнен Ұлы жүздiң бас биi атанған Төле бидiң малын бақты. Мұнда ол, бiраз уақыт өзiнiң хан тұқымынан екендiгiн жасыруға мәжбүр болды, жоңғарларға қарсы күресте қатардағы сарбаз ретiнде қатысып, ерлiктерiмен елдiң көзiне түстi.",Үйсіннің атақты биі кім болды?,Төле би,67,74
" Ол осында үйсiннiң атақты биi, кейiнен Ұлы жүздiң бас биi атанған Төле бидiң малын бақты. Мұнда ол, бiраз уақыт өзiнiң хан тұқымынан екендiгiн жасыруға мәжбүр болды, жоңғарларға қарсы күресте қатардағы сарбаз ретiнде қатысып, ерлiктерiмен елдiң көзiне түстi.",Мұнда ол нені жасырды?,өзiнiң хан тұқымынан екендiгiн,113,143
" Ол осында үйсiннiң атақты биi, кейiнен Ұлы жүздiң бас биi атанған Төле бидiң малын бақты. Мұнда ол, бiраз уақыт өзiнiң хан тұқымынан екендiгiн жасыруға мәжбүр болды, жоңғарларға қарсы күресте қатардағы сарбаз ретiнде қатысып, ерлiктерiмен елдiң көзiне түстi.",Жоңғарларға қарсы күресте кім болып рөль атқарды?,қатардағы сарбаз,193,209
" Ол осында үйсiннiң атақты биi, кейiнен Ұлы жүздiң бас биi атанған Төле бидiң малын бақты. Мұнда ол, бiраз уақыт өзiнiң хан тұқымынан екендiгiн жасыруға мәжбүр болды, жоңғарларға қарсы күресте қатардағы сарбаз ретiнде қатысып, ерлiктерiмен елдiң көзiне түстi.",Елдің көзіне қалай түсті?,ерлiктерiмен,227,239
"1731 жылы жоңғарларға қарсы шайқаста ол, Абылай атасының есiмiн ұран қылып жауға шауып, өзiнiң ерекше ерлiгiмен қиын жағдайдан қазақ жасақтарын құтқарды. Осы кезден бастап қазақ батырлары, билерi және сұлтандары қарапайым малшы болып жүрген, қара халықтың арасында өсiп, тәрбие алған Абылайдың шығу тегiн анықтады.",Қай жылы Абылай жоңарлармен шайқасты?,1731 жылы,0,9
"1731 жылы жоңғарларға қарсы шайқаста ол, Абылай атасының есiмiн ұран қылып жауға шауып, өзiнiң ерекше ерлiгiмен қиын жағдайдан қазақ жасақтарын құтқарды. Осы кезден бастап қазақ батырлары, билерi және сұлтандары қарапайым малшы болып жүрген, қара халықтың арасында өсiп, тәрбие алған Абылайдың шығу тегiн анықтады.",Абылай кімнің есімін ұран қылып жауға қарсы шапты?,Абылай атасының,41,56
"1731 жылы жоңғарларға қарсы шайқаста ол, Абылай атасының есiмiн ұран қылып жауға шауып, өзiнiң ерекше ерлiгiмен қиын жағдайдан қазақ жасақтарын құтқарды. Осы кезден бастап қазақ батырлары, билерi және сұлтандары қарапайым малшы болып жүрген, қара халықтың арасында өсiп, тәрбие алған Абылайдың шығу тегiн анықтады.",Атасының аты Абылайды ұрандатып жауға шапқан Абылай қандай нәтиже көрсетті?,ерекше ерлiгiмен қиын жағдайдан қазақ жасақтарын құтқарды,95,152
"1731 жылы жоңғарларға қарсы шайқаста ол, Абылай атасының есiмiн ұран қылып жауға шауып, өзiнiң ерекше ерлiгiмен қиын жағдайдан қазақ жасақтарын құтқарды. Осы кезден бастап қазақ батырлары, билерi және сұлтандары қарапайым малшы болып жүрген, қара халықтың арасында өсiп, тәрбие алған Абылайдың шығу тегiн анықтады.","Кімдер Абылайдың жауға атасын ұрандатып шыққандығы сепебті, оның шығу тегін анықтай бастады?","қазақ батырлары, билерi және сұлтандары",172,211
"1731 жылы жоңғарларға қарсы шайқаста ол, Абылай атасының есiмiн ұран қылып жауға шауып, өзiнiң ерекше ерлiгiмен қиын жағдайдан қазақ жасақтарын құтқарды. Осы кезден бастап қазақ батырлары, билерi және сұлтандары қарапайым малшы болып жүрген, қара халықтың арасында өсiп, тәрбие алған Абылайдың шығу тегiн анықтады.","Малшы болып, қарапайым халықтың арасында өскен кім?",Абылай,41,47
"Көп ұзамай Абылайдың бойынан iрi қайраткерге тән қасиеттер байқала бастаған. Ақылымен, ержүректiлiгiмен, табандылығымен ерекше көзге түскен. Қашып жүргенде аты-жөнiн жасырып, “Сабалақ” атанған Абылай әкесiмен ағайындас Орта жүз ханы Әбiлмәмбет сарайындағы ақсүйектерге келiп қосылады.",Абылайдың бойынан қандай қасиеттер байқала бастады?,iрi қайраткерге тән қасиеттер,29,58
"Көп ұзамай Абылайдың бойынан iрi қайраткерге тән қасиеттер байқала бастаған. Ақылымен, ержүректiлiгiмен, табандылығымен ерекше көзге түскен. Қашып жүргенде аты-жөнiн жасырып, “Сабалақ” атанған Абылай әкесiмен ағайындас Орта жүз ханы Әбiлмәмбет сарайындағы ақсүйектерге келiп қосылады.",Абылай қандай қабілеттерімен көзге түскен?,"Ақылымен, ержүректiлiгiмен, табандылығымен",77,119
"Көп ұзамай Абылайдың бойынан iрi қайраткерге тән қасиеттер байқала бастаған. Ақылымен, ержүректiлiгiмен, табандылығымен ерекше көзге түскен. Қашып жүргенде аты-жөнiн жасырып, “Сабалақ” атанған Абылай әкесiмен ағайындас Орта жүз ханы Әбiлмәмбет сарайындағы ақсүйектерге келiп қосылады.","Абылай аты-жөнін жасырып, өзін кім деп атады?",Сабалақ,176,183
"Көп ұзамай Абылайдың бойынан iрi қайраткерге тән қасиеттер байқала бастаған. Ақылымен, ержүректiлiгiмен, табандылығымен ерекше көзге түскен. Қашып жүргенде аты-жөнiн жасырып, “Сабалақ” атанған Абылай әкесiмен ағайындас Орта жүз ханы Әбiлмәмбет сарайындағы ақсүйектерге келiп қосылады.",Абылай әесімен ағайындас кімдерге қосылды?,Орта жүз ханы Әбiлмәмбет сарайындағы ақсүйектерге келiп қосылады,219,283
"Көп ұзамай Абылайдың бойынан iрi қайраткерге тән қасиеттер байқала бастаған. Ақылымен, ержүректiлiгiмен, табандылығымен ерекше көзге түскен. Қашып жүргенде аты-жөнiн жасырып, “Сабалақ” атанған Абылай әкесiмен ағайындас Орта жүз ханы Әбiлмәмбет сарайындағы ақсүйектерге келiп қосылады.",Орта жүз ханы кім?,Әбiлмәмбет,233,243
"Оны Ұлы жүздiң атақты биi Төлемен бiрге Орта жүздiң беделдi тарихи тұлғасы Қаздауысты Қызыбек би өздерiнiң қамқорлықтарына алып, ақыл-кеңестерiн айтып, әрқашан қолдап отырды.",Ұлы жүздің биі кім?,Төле,26,30
